fips,name,state,bryant17_county,main_source_of_generation_2016,electricity_demand_twh_2016,n_powerplants_2016,solar_generation_mwh_2016,solar_generation_mwh_2018
1001,Autauga County,AL,0,COAL,3,8,11300,21166
1003,Baldwin County,AL,0,COAL,2,9,10790,20218
1005,Barbour County,AL,0,COAL,2,7,10961,20010
1007,Bibb County,AL,0,COAL,2,7,10747,20457
1009,Blount County,AL,0,COAL,2,7,11529,21289
1011,Bullock County,AL,1,COAL,4,10,11348,19128.4
1013,Butler County,AL,1,COAL,4,8,10577,19847.199
1015,Calhoun County,AL,1,COAL,1,9,11071,19986
1017,Chambers County,AL,1,COAL,2,11,10778,17972
1019,Cherokee County,AL,1,COAL,3,8,10617,17594.4
1021,Chilton County,AL,0,COAL,1,7,10984,20442
1023,Choctaw County,AL,0,COAL,3,8,10543,19442
1025,Clarke County,AL,0,COAL,1,8,9914,17987
1027,Clay County,AL,0,COAL,1,8,10562,18964
1029,Cleburne County,AL,0,COAL,3,5,10306,18608
1031,Coffee County,AL,1,GAS,4,9,12434,21414.6
1033,Colbert County,AL,1,GAS,2,9,11731,21037
1035,Conecuh County,AL,1,GAS,2,9,11307,20990
1037,Coosa County,AL,1,GAS,2,10,11292,21320
1039,Covington County,AL,1,GAS,1,11,10684,20355
1041,Crenshaw County,AL,0,COAL,2,7,11220,20607
1043,Cullman County,AL,0,COAL,3,8,11113,20613
1045,Dale County,AL,0,COAL,1,8,10106,19237
1047,Dallas County,AL,0,COAL,3,7,10564,19486
1049,DeKalb County,AL,0,COAL,2,9,10945,20291
1051,Elmore County,AL,1,HYDRO,3,10,11494,21380.6
1053,Escambia County,AL,1,HYDRO,1,9,11466,21174
1055,Etowah County,AL,1,HYDRO,2,10,11002,19873
1057,Fayette County,AL,1,HYDRO,3,8,10166,18924.801
1059,Franklin County,AL,1,HYDRO,2,10,10077,18025
1061,Geneva County,AL,0,COAL,1,8,11613,20376
1063,Greene County,AL,0,COAL,3,6,11122,20364
1065,Hale County,AL,0,COAL,2,8,10313,19995
1067,Henry County,AL,0,COAL,2,8,11600,20183
1069,Houston County,AL,0,COAL,2,8,10455,18906
1071,Jackson County,AL,1,WIND,3,10,11375,26103.6
1073,Jefferson County,AL,1,WIND,2,9,10955,24306
1075,Lamar County,AL,1,WIND,3,9,10659,23680.199
1077,Lauderdale County,AL,1,WIND,2,10,10889,23056
1079,Lawrence County,AL,1,WIND,1,11,10953,23429
1081,Lee County,AL,0,COAL,2,7,11162,20858
1083,Limestone County,AL,0,COAL,2,7,10650,19636
1085,Lowndes County,AL,0,COAL,2,7,11090,20437
1087,Macon County,AL,0,COAL,1,8,10127,19580
1089,Madison County,AL,0,COAL,2,7,10944,20192
1091,Marengo County,AL,1,NUCLEAR,1,9,10173,18475
1093,Marion County,AL,1,NUCLEAR,2,11,10275,19246
1095,Marshall County,AL,1,NUCLEAR,1,9,11135,20062
1097,Mobile County,AL,1,NUCLEAR,2,11,10708,20030
1099,Monroe County,AL,1,NUCLEAR,3,9,11613,19804
1101,Montgomery County,AL,0,COAL,2,7,10940,20785
1103,Morgan County,AL,0,COAL,0,8,10637,20106
